# Sample ball-by-ball commentary  (fictional T20 first innings)
# Format: <over>.<ball> <bowler> to <batter>, <description>
# Lines beginning with '#' are ignored by the parser.

0.1 Shaheen to Rohit, no run
0.2 Shaheen to Rohit, FOUR
0.3 Shaheen to Rohit, 1 run
0.4 Shaheen to Gill, no run
0.5 Shaheen to Gill, 2 runs
0.6 Shaheen to Gill, 1 run
1.1 Rauf to Rohit, 1 run
1.2 Rauf to Gill, FOUR
1.3 Rauf to Gill, 1 run
1.4 Rauf to Rohit, SIX
1.5 Rauf to Rohit, no run
1.6 Rauf to Rohit, 1 wide
1.6 Rauf to Rohit, 1 run
2.1 Shaheen to Gill, no run
2.2 Shaheen to Gill, FOUR
2.3 Shaheen to Gill, 1 run
2.4 Shaheen to Rohit, no run
2.5 Shaheen to Rohit, OUT, caught behind
2.6 Shaheen to Kohli, no run
3.1 Rauf to Gill, 1 run
3.2 Rauf to Kohli, FOUR
3.3 Rauf to Kohli, 2 runs
3.4 Rauf to Kohli, 1 run
3.5 Rauf to Gill, 1 run
3.6 Rauf to Kohli, FOUR
4.1 Nawaz to Kohli, 1 run
4.2 Nawaz to Gill, no run
4.3 Nawaz to Gill, 2 leg byes
4.4 Nawaz to Gill, 1 run
4.5 Nawaz to Kohli, SIX
4.6 Nawaz to Kohli, 1 run
5.1 Afridi to Gill, FOUR
5.2 Afridi to Gill, 1 run
5.3 Afridi to Kohli, no run
5.4 Afridi to Kohli, FOUR
5.5 Afridi to Kohli, 1 run
5.6 Afridi to Gill, 1 run
6.1 Nawaz to Kohli, 1 run
6.2 Nawaz to Gill, no run
6.3 Nawaz to Gill, OUT, caught by Rizwan
6.4 Nawaz to Pant, no run
6.5 Nawaz to Pant, 1 run
6.6 Nawaz to Kohli, 2 runs
7.1 Afridi to Kohli, 1 run
7.2 Afridi to Pant, no run
7.3 Afridi to Pant, OUT, bowled
7.4 Afridi to Surya, no run
7.5 Afridi to Surya, no run
7.6 Afridi to Surya, FOUR
8.1 Nawaz to Kohli, OUT, lbw
8.2 Nawaz to Hardik, no run
8.3 Nawaz to Hardik, 1 run
8.4 Nawaz to Surya, 1 run
8.5 Nawaz to Hardik, no run
8.6 Nawaz to Hardik, OUT, run out
9.1 Wasim to Surya, 1 run
9.2 Wasim to Jadeja, no run
9.3 Wasim to Jadeja, FOUR
9.4 Wasim to Jadeja, 1 run
9.5 Wasim to Surya, 2 runs
9.6 Wasim to Surya, 1 run
10.1 Afridi to Jadeja, 1 run
10.2 Afridi to Surya, FOUR
10.3 Afridi to Surya, SIX
10.4 Afridi to Surya, SIX
10.5 Afridi to Surya, 1 run
10.6 Afridi to Jadeja, FOUR
11.1 Wasim to Surya, 1 run
11.2 Wasim to Jadeja, 1 run
11.3 Wasim to Surya, 2 runs
11.4 Wasim to Surya, FOUR
11.5 Wasim to Surya, 1 run
11.6 Wasim to Jadeja, 1 wide
11.6 Wasim to Jadeja, 6 runs
